type,text,method
p,Anou's Website is Changing! Is something not working as expected? Email us at hello@theanou.com,selenium
p,EXPERIENCES,selenium
h1,Page not found (404),selenium
p,"Sorry, but the requested page could not be found.",selenium
p,The Cooperative,selenium
p,Sustainability,selenium
p,Retail Partnerships,selenium
p,Hello@theanou.com,selenium
p,Experiences,selenium
p,Artisan Experiences,selenium
p,Fez Workshops,selenium
p,صانعة تقليدي(ة),selenium
p,Your Preferences,selenium
p,Your Saved Favorites,selenium
p,Select Shipping/Currency,selenium
option,Select Shipping/Currency,selenium
option,United States,selenium
option,Afghanistan,selenium
option,Aland Islands,selenium
option,American Samoa,selenium
option,Bouvet Island,selenium
option,Brunei Darussalam,selenium
option,Burkina Faso,selenium
option,Cayman Islands,selenium
option,Christmas Island,selenium
option,Cocos (Keeling) Islands,selenium
option,Cook Islands,selenium
option,Cote D'Ivoire,selenium
option,Czech Republic,selenium
option,Dominican Republic,selenium
option,El Salvador,selenium
option,Equatorial Guinea,selenium
option,Faroe Islands,selenium
option,French Guiana,selenium
option,French Polynesia,selenium
option,Guinea-Bissau,selenium
option,"Iran, Islamic Republic of",selenium
option,Isle of Man,selenium
option,South Korea,selenium
option,Liechtenstein,selenium
option,Marshall Islands,selenium
option,Netherlands,selenium
option,New Zealand,selenium
option,Philippines,selenium
option,Puerto Rico,selenium
option,Russian Federation,selenium
option,Sao Tome and Principe,selenium
option,Saudi Arabia,selenium
option,Sierra Leone,selenium
option,Sint Maarten,selenium
option,Solomon Islands,selenium
option,South Africa,selenium
option,South Sudan,selenium
option,Svalbard and Jan Mayen,selenium
option,Switzerland,selenium
option,Timor-Leste,selenium
option,Trinidad and Tobago,selenium
option,Turkmenistan,selenium
option,United Arab Emirates,selenium
option,United Kingdom,selenium
p,©2023 The Anou Cooperative | Owned and Managed by Morocco's Artisan Community,selenium
div,✉️ Need help? Contact us!,selenium
p,Anou's Website is Changing! Is something not working as expected? Email us at hello@theanou.com,bs4
p,EXPERIENCES,bs4
p,You have no items in your cart.,bs4
p,Add items to your cart to learn how to save money on shipping.,bs4
p,Experiences,bs4
p,"Sorry, but the requested page could not be found.",bs4
p,The Cooperative,bs4
p,Sustainability,bs4
p,Retail Partnerships,bs4
p,Hello@theanou.com,bs4
p,Experiences,bs4
p,Artisan Experiences,bs4
p,Fez Workshops,bs4
p,صانعة تقليدي(ة),bs4
p,Your Preferences,bs4
p,Your Saved Favorites,bs4
p,Select Shipping/Currency,bs4
p,©2023 The Anou Cooperative | Owned and Managed by Morocco's Artisan Community,bs4
p,"Keep up with Anou artisans and join their adventures to transform Moroccan craft, sign up for our newsletter here:",bs4
