type,text,method
p,Anou's Website is Changing! Is something not working as expected? Email us at hello@theanou.com,selenium
p,EXPERIENCES,selenium
h1,Buy Directly From Artisans!,selenium
h1,No More Middlemen!,selenium
button,SHOP THE MARKETPLACE!,selenium
p,The Marketplace,selenium
p,Buy directly from artisans all across Morocco,selenium
p,Custom Orders,selenium
p,Create something made just for you.,selenium
p,Curated Favorites,selenium
p,Search select favorites from thousands of artisan posted products.,selenium
h2,Commitment to Sustainability & Transparency,selenium
p,Morocco's only sustainable supply chains,selenium
p,Anou's Theory of Change: Artisan Led,selenium
h2,Recently Added Favorites,selenium
p,Pile Knot Rug,selenium
p,By Numedia Tabudrart,selenium
p,Flat Weave Rug,selenium
p,By Numedia Tabudrart,selenium
p,Pile Knot Rug,selenium
p,By Numedia Tabudrart,selenium
p,WHAT THEY ARE SAYING,selenium
p,"""The Anou Cooperative offers a fresh alternative to traditional cultural clichés – and a challenge to vested market interests.""",selenium
p,— Franklin-Till,selenium
p,The Cooperative,selenium
p,Sustainability,selenium
p,Retail Partnerships,selenium
p,Hello@theanou.com,selenium
p,Experiences,selenium
p,Artisan Experiences,selenium
p,Fez Workshops,selenium
p,صانعة تقليدي(ة),selenium
p,Your Preferences,selenium
p,Your Saved Favorites,selenium
p,Select Shipping/Currency,selenium
option,Select Shipping/Currency,selenium
option,United States,selenium
option,Afghanistan,selenium
option,Aland Islands,selenium
option,American Samoa,selenium
option,Bouvet Island,selenium
option,Brunei Darussalam,selenium
option,Burkina Faso,selenium
option,Cayman Islands,selenium
option,Christmas Island,selenium
option,Cocos (Keeling) Islands,selenium
option,Cook Islands,selenium
option,Cote D'Ivoire,selenium
option,Czech Republic,selenium
option,Dominican Republic,selenium
option,El Salvador,selenium
option,Equatorial Guinea,selenium
option,Faroe Islands,selenium
option,French Guiana,selenium
option,French Polynesia,selenium
option,Guinea-Bissau,selenium
option,"Iran, Islamic Republic of",selenium
option,Isle of Man,selenium
option,South Korea,selenium
option,Liechtenstein,selenium
option,Marshall Islands,selenium
option,Netherlands,selenium
option,New Zealand,selenium
option,Philippines,selenium
option,Puerto Rico,selenium
option,Russian Federation,selenium
option,Sao Tome and Principe,selenium
option,Saudi Arabia,selenium
option,Sierra Leone,selenium
option,Sint Maarten,selenium
option,Solomon Islands,selenium
option,South Africa,selenium
option,South Sudan,selenium
option,Svalbard and Jan Mayen,selenium
option,Switzerland,selenium
option,Timor-Leste,selenium
option,Trinidad and Tobago,selenium
option,Turkmenistan,selenium
option,United Arab Emirates,selenium
option,United Kingdom,selenium
p,©2023 The Anou Cooperative | Owned and Managed by Morocco's Artisan Community,selenium
div,✉️ Need help? Contact us!,selenium
