titre,contenu
Allemagne,"['En 2024, les exportations des produits de l’artisanat marocain vers le marché allemand ont atteint 34,5 millions de dirhams. Ce chiffre marque une progression de 15% par rapport à 2023, illustrant une dynamique de la demande pour les produits de l’artisanat marocains en Allemagne. Le fait-main fait parler en Allemagne avec 2,5 millions de mentions, principalement postées sur Facebook, tandis que le fait-main marocain génère 5,7 K mentions.']"
Tapis,"['Le tapis suscite l’intérêt en ligne avec 131,2K mentions, principalement sur X (Twitter), dont 12,3K dédiées au tapis marocain. Les consommateurs témoignent d’un intérêt marqué pour le tapis marocain, avec 98% de retours positifs. Le design est le critère de satisfaction le plus mentionné par les acheteurs de tapis marocains. Ils mettent en avant principalement la beauté intemporelle, les motifs complexes, les couleurs riches et le design authentique des tapis.']"
Espagne,"['En 2024, les exportations des produits de l’artisanat marocain vers l’Espagne ont dépassé 72 millions de dirhams, enregistrant une croissance de 5% par rapport à l’année précédente. Les consommateurs espagnols témoignent d’un intérêt marqué pour l’artisanat marocain, avec 91% de retours positifs. Les tendances actuelles de l’artisanat en Espagne mettent en avant l’utilisation de matériaux naturels et de tons neutres revisités, inspirés par le design biophilique.']"
Pays Nordiques,"['Le fait-main fait parler aux pays nordiques avec 24K mentions, postées principalement sur Facebook et avec une attention particulière accordée au fait-main marocain, sujet de 1.8K mentions. Les consommateurs nordiques sont largement sensibles à la durabilité lors de leurs achats en ligne, avec près de 80% d’entre eux prenant ces critères en compte. Les principaux critères de satisfaction se concentrent sur la livraison et le service client des produits achetés.']"
Poterie et Céramique Marocaines,"['La poterie et la céramique suscitent de l’intérêt avec 1,2 million de mentions collectées, publiées principalement sur Facebook et une attention particulière portée à la poterie et à la céramique marocaines, sujet de 43,5 mille mentions.']"
Dinanderie Marocaine,"['Les exportations de la dinanderie marocaine ont connu un taux de croissance annuel moyen de 17% entre 2019 et 2023. Les États-Unis d’Amérique dominent les importations, représentant 56% de la part totale. Par ailleurs, la dinanderie fait parler avec 309.4K de mentions collectées, postées principalement sur X (Twitter) et avec une attention particulière apportée à la dinanderie marocaine, sujet de 9.5K mentions.']"
États-Unis d'Amérique,"['Le fait-main fait parler aux Etats-Unis d’Amérique avec 967K mentions, postées principalement sur X (Twitter), et le fait main marocain a été le sujet de plus de 40K mentions. En 2023, les exportations des produits de l’artisanat marocain vers les États-Unis d’Amérique ont atteint plus de 456 millions de dirhams, avec une croissance de 17% par rapport à 2022. La poterie est le produit le plus exporté vers ce marché (190 millions de DH).Les consommateurs américains montrent une appréciation générale pour l’artisanat marocain, avec près de 92% de retours positifs. Le design est le principal critère de satisfaction évoqué par les acheteurs.']"
Benelux,"[""En 2023, les exportations marocaines vers le marché Benelux ont atteint 47,37 MDH (+14%), avec la poterie et la pierre représentant 44% du total. L'analyse des mentions sur le marché Benelux (44,5K mentions) montre que Facebook domine avec 45%. La bijouterie est le produit le plus mentionné (19%). Le style bohème minimaliste et la durabilité sont les tendances émergentes, tandis que le maximalisme progresse. La satisfaction client est élevée (86% positifs), avec une note moyenne de 4,6/5.""]"
Japon,"['En 2023, les exportations vers le marché japonais ont atteint 9,09 MDH. Le fait-main suscite un vif intérêt au Japon, avec 61,8K mentions sur les réseaux sociaux, principalement sur X (Twitter).']"
Portugal,"['Les consommateurs portugais se montrent satisfaits des produits d’artisanat marocain, avec près de 72% de retours positifs. Les exportations de l’artisanat marocain vers le marcheì portugais ont atteint 8,8 MDH en 2023, enregistrant une hausse de 89% par rapport à 2022, avec un taux de croissance annuel moyen de 15,9% sur les cinq dernières années.']"
